T29,Internet Usage,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
28,Antigua and Barbuda,2000,Percentage of individuals using the internet,6.4822,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
28,Antigua and Barbuda,2005,Percentage of individuals using the internet,27.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
28,Antigua and Barbuda,2010,Percentage of individuals using the internet,47.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
28,Antigua and Barbuda,2015,Percentage of individuals using the internet,70.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
28,Antigua and Barbuda,2016,Percentage of individuals using the internet,73.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
28,Antigua and Barbuda,2017,Percentage of individuals using the internet,76.0000,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
32,Argentina,2000,Percentage of individuals using the internet,7.0387,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
32,Argentina,2005,Percentage of individuals using the internet,17.7206,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
32,Argentina,2010,Percentage of individuals using the internet,45.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
32,Argentina,2015,Percentage of individuals using the internet,68.0431,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
32,Argentina,2016,Percentage of individuals using the internet,70.9690,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
32,Argentina,2017,Percentage of individuals using the internet,74.2949,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
51,Armenia,2000,Percentage of individuals using the internet,1.3005,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
51,Armenia,2005,Percentage of individuals using the internet,5.2530,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
51,Armenia,2010,Percentage of individuals using the internet,25.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
51,Armenia,2015,Percentage of individuals using the internet,59.1024,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
51,Armenia,2016,Percentage of individuals using the internet,64.3460,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
51,Armenia,2017,Percentage of individuals using the internet,64.7449,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
533,Aruba,2000,Percentage of individuals using the internet,15.4428,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
533,Aruba,2005,Percentage of individuals using the internet,25.4000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
533,Aruba,2010,Percentage of individuals using the internet,62.0000,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
533,Aruba,2015,Percentage of individuals using the internet,88.6612,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
533,Aruba,2016,Percentage of individuals using the internet,93.5425,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
533,Aruba,2017,Percentage of individuals using the internet,97.1700,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed January 2020."
